# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
#             85 ns : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
            4145   N   0000059a   00004e79   0000059c   x29_t4     00000019
            4155   N   0000059c   0dd19463   0000059e   x28_t3     0000001e
            4165   N   0000059e   00004201   000005a2   ---        --------
            4175   N   000005a2   0000412d   000005a4   x04_tp     00000000
            4185   N   000005a4   000040bd   000005a6   x02_sp     0000000b
            4195   N   000005a6   00000001   000005a8   x01_ra     0000000f
            4205   N   000005a8   00000001   000005aa   ---        --------
            4215   N   000005aa   002081b3   000005ac   ---        --------
            4225   N   000005ac   00000205   000005b0   x03_gp     0000001a
            4235   N   000005b0   00004289   000005b2   x04_tp     00000001
            4245   N   000005b2   fe5218e3   000005b4   x05_t0     00000002
            4255   N   000005b4   00004ee9   000005a4   ---        --------
            4285   N   000005a4   000040bd   000005a6   x02_sp     0000000b
            4295   N   000005a6   00000001   000005a8   x01_ra     0000000f
            4305   N   000005a8   00000001   000005aa   ---        --------
            4315   N   000005aa   002081b3   000005ac   ---        --------
            4325   N   000005ac   00000205   000005b0   x03_gp     0000001a
            4335   N   000005b0   00004289   000005b2   x04_tp     00000002
            4345   N   000005b2   fe5218e3   000005b4   x05_t0     00000002
            4355   N   000005b4   00004ee9   000005b8   ---        --------
            4365   N   000005b8   00004e7d   000005ba   x29_t4     0000001a
            4375   N   000005ba   0bd19563   000005bc   x28_t3     0000001f
            4385   N   000005bc   00004201   000005c0   ---        --------
            4395   N   000005c0   0000412d   000005c2   x04_tp     00000000
            4405   N   000005c2   00000001   000005c4   x02_sp     0000000b
            4415   N   000005c4   000040b5   000005c6   ---        --------
            4425   N   000005c6   002081b3   000005c8   x01_ra     0000000d
            4435   N   000005c8   00000205   000005cc   x03_gp     00000018
            4445   N   000005cc   00004289   000005ce   x04_tp     00000001
            4455   N   000005ce   fe5219e3   000005d0   x05_t0     00000002
            4465   N   000005d0   00004ee1   000005c2   ---        --------
            4495   N   000005c2   00000001   000005c4   x02_sp     0000000b
            4505   N   000005c4   000040b5   000005c6   ---        --------
            4515   N   000005c6   002081b3   000005c8   x01_ra     0000000d
            4525   N   000005c8   00000205   000005cc   x03_gp     00000018
            4535   N   000005cc   00004289   000005ce   x04_tp     00000002
            4545   N   000005ce   fe5219e3   000005d0   x05_t0     00000002
            4555   N   000005d0   00004ee1   000005d4   ---        --------
            4565   N   000005d4   02000e13   000005d6   x29_t4     00000018
            4575   N   000005d6   4ee19663   000005da   x28_t3     00000020
            4595   N   000005da   00004201   000005de   ---        --------
            4605   N   000005de   0000412d   000005e0   x04_tp     00000000
            4615   N   000005e0   00000001   000005e2   x02_sp     0000000b
            4625   N   000005e2   000040b9   000005e4   ---        --------
            4635   N   000005e4   00000001   000005e6   x01_ra     0000000e
            4645   N   000005e6   002081b3   000005e8   ---        --------
            4655   N   000005e8   00000205   000005ec   x03_gp     00000019
            4665   N   000005ec   00004289   000005ee   x04_tp     00000001
            4675   N   000005ee   fe5218e3   000005f0   x05_t0     00000002
            4685   N   000005f0   00004ee5   000005e0   ---        --------
            4715   N   000005e0   00000001   000005e2   x02_sp     0000000b
            4725   N   000005e2   000040b9   000005e4   ---        --------
            4735   N   000005e4   00000001   000005e6   x01_ra     0000000e
            4745   N   000005e6   002081b3   000005e8   ---        --------
            4755   N   000005e8   00000205   000005ec   x03_gp     00000019
            4765   N   000005ec   00004289   000005ee   x04_tp     00000002
            4775   N   000005ee   fe5218e3   000005f0   x05_t0     00000002
            4785   N   000005f0   00004ee5   000005f4   ---        --------
            4795   N   000005f4   02100e13   000005f6   x29_t4     00000019
            4805   N   000005f6   4ee59663   000005fa   x28_t3     00000021
            4825   N   000005fa   00004201   000005fe   ---        --------
            4835   N   000005fe   0000412d   00000600   x04_tp     00000000
            4845   N   00000600   00000001   00000602   x02_sp     0000000b
            4855   N   00000602   00000001   00000604   ---        --------
            4865   N   00000604   000040bd   00000606   ---        --------
            4875   N   00000606   002081b3   00000608   x01_ra     0000000f
            4885   N   00000608   00000205   0000060c   x03_gp     0000001a
            4895   N   0000060c   00004289   0000060e   x04_tp     00000001
            4905   N   0000060e   fe5218e3   00000610   x05_t0     00000002
            4915   N   00000610   00004ee9   00000600   ---        --------
            4945   N   00000600   00000001   00000602   x02_sp     0000000b
            4955   N   00000602   00000001   00000604   ---        --------
            4965   N   00000604   000040bd   00000606   ---        --------
            4975   N   00000606   002081b3   00000608   x01_ra     0000000f
            4985   N   00000608   00000205   0000060c   x03_gp     0000001a
            4995   N   0000060c   00004289   0000060e   x04_tp     00000002
            5005   N   0000060e   fe5218e3   00000610   x05_t0     00000002
            5015   N   00000610   00004ee9   00000614   ---        --------
            5025   N   00000614   02200e13   00000616   x29_t4     0000001a
            5035   N   00000616   4ee99663   0000061a   x28_t3     00000022
            5055   N   0000061a   000040bd   0000061e   ---        --------
            5065   N   0000061e   00100133   00000620   x01_ra     0000000f
            5075   N   00000620   00004ebd   00000624   x02_sp     0000000f
            5085   N   00000624   02300e13   00000626   x29_t4     0000000f
            5095   N   00000626   4ebd1e63   0000062a   x28_t3     00000023
            5115   N   0000062a   02300093   0000062e   ---        --------
            5135   N   0000062e   03d18133   00000632   x01_ra     00000020
            5155   N   00000632   02000e93   00000636   x02_sp     00000020
            5175   N   00000636   00000e13   0000063a   x29_t4     00000020
            5195   N   0000063a   02001463   0000063e   x28_t3     00000024
            5215   N   0000063e   024000b3   00000642   ---        --------
            5235   N   00000642   00004e81   00000646   x01_ra     00000000
            5245   N   00000646   02500e13   00000648   x29_t4     00000000
            5255   N   00000648   01d09d63   0000064c   x28_t3     00000025
            5265   N   0000064c   000040c1   00000650   ---        --------
            5275   N   00000650   00004179   00000652   x01_ra     00000010
            5285   N   00000652   00208033   00000654   x02_sp     0000001e
            5295   N   00000654   00004e81   00000658   ---        --------
            5305   N   00000658   02600e13   0000065a   x29_t4     00000000
            5315   N   0000065a   4e811463   0000065e   x28_t3     00000026
            5335   N   0000065e   02601863   00000662   ---        --------
            5355   N   00000662   01d0000f   00000672   ---        --------
            5395   N   00000672   000085f2   00000676   ---        --------
            5405   N   00000676   00004501   00000678   x11_a1     00000026
